                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.88567,                  6.477,                0.40347,                0.78586,                 1.0597,                0.70579,                0.74847,                0.65511,                0.40888,                0.12743,                 0.1181,                0.03455,                0.00445,                 1.3602,                 7.1138,                0.44279,                0.96589,                 1.2149,             0.00063554,             0.00063554,             0.00063554
                     77,                0.88824,                 6.4238,                0.40081,                 0.7812,                  1.061,                0.71088,                0.76074,                0.65452,                 0.4073,                0.13242,                0.11196,                0.03427,                0.00482,                 1.3497,                 7.0876,                0.44142,                0.96845,                 1.2244,             0.00062179,             0.00062179,             0.00062179
                     78,                0.87839,                 6.4092,                 0.4021,                0.77424,                 1.0596,                0.69837,                0.76349,                0.65981,                0.41746,                 0.1352,                0.11656,                0.04116,                0.00554,                 1.3372,                 7.0689,                0.44418,                0.96137,                 1.2175,             0.00060804,             0.00060804,             0.00060804
                     79,                0.86243,                 6.3868,                0.39896,                0.77415,                 1.0513,                0.70526,                0.73398,                0.64787,                0.40724,                0.12636,                0.11656,                0.04061,                0.00598,                  1.364,                 7.0543,                0.44592,                0.98688,                 1.2209,             0.00059429,             0.00059429,             0.00059429
                     80,                0.86894,                 6.4165,                0.39951,                0.77785,                 1.0596,                0.68751,                0.73773,                0.65561,                0.41023,                0.12739,                 0.1089,                0.03236,                0.00447,                 1.3661,                 7.1361,                0.44451,                0.98248,                 1.2379,             0.00058053,             0.00058053,             0.00058053
                     81,                0.86292,                 6.3929,                0.39859,                0.75813,                 1.0458,                 0.7153,                0.73601,                0.65784,                0.40771,                0.13917,                 0.1273,                0.04236,                0.00561,                 1.3487,                   7.06,                0.44607,                0.95979,                 1.2274,             0.00056678,             0.00056678,             0.00056678
                     82,                0.86995,                 6.3607,                0.40145,                0.77127,                 1.0493,                0.69781,                0.72853,                0.64042,                0.39554,                0.10677,                0.09816,                 0.0298,                0.00409,                 1.3738,                 7.0947,                0.44792,                0.96084,                 1.2573,             0.00055303,             0.00055303,             0.00055303
                     83,                0.86199,                  6.373,                0.39489,                0.77435,                 1.0512,                 0.6898,                0.75715,                0.65331,                0.41023,                0.14771,                0.09816,                0.03132,                0.00447,                 1.3557,                 7.0852,                 0.4431,                0.97461,                  1.233,             0.00053927,             0.00053927,             0.00053927
                     84,                0.86982,                 6.3984,                0.39536,                0.77042,                 1.0529,                0.69405,                0.74233,                0.65206,                0.41129,                0.13025,                0.12883,                0.03655,                0.00505,                 1.3559,                 7.0875,                0.44512,                0.96173,                 1.2188,             0.00052552,             0.00052552,             0.00052552
                     85,                0.85462,                 6.3588,                0.39619,                0.75742,                 1.0458,                0.67981,                0.74847,                0.64337,                0.40394,                0.13331,                0.10429,                0.03184,                0.00432,                 1.3693,                 7.1278,                0.44623,                0.97957,                 1.2337,             0.00051177,             0.00051177,             0.00051177
